No,G,N,E,O,A,C,T,RF,WHR,RHL,REF,REL,REH,RNO,RNL,RHO,RML,RTC,RJ1,RJ2,RJ3,RJ4,RUI,RBL,RBH,RWH,RWM,RMW,RMH,RNM,RNF,RMF
2014012212,1,22,16,5,39,38,4,1.1323,2.0018,3.6568,0.4516,0.1814,0.0562,0.5765,0.4091,0.2083,0.4492,0.2828,0.8055,0.6525,0.4581,0.2372,0.172,0.1277,0.33399999999999996,2.9611,2.6165,0.3475,0.1265,0.2515,0.5511,0.2828
2014012216,0,1,61,56,30,55,2,1.0326,1.9363,3.1065,0.4732,0.16699999999999998,0.0555,0.457,0.3888,0.172,0.4749,0.2556,0.8389,0.6992,0.4947,0.2688,0.1867,0.1526,0.3284,2.2225,2.3022,0.2905,0.111,0.2334,0.5001,0.2556
2014012426,1,51,12,24,42,51,1,1.0376,2.0388,2.9389999999999996,0.4182,0.1646,0.0581,0.5556,0.3396,0.1818,0.4373,0.3024,0.782,0.6545,0.4731,0.2364,0.2045,0.126,0.3184,2.6213,1.546,0.3273,0.1708,0.2452,0.5663,0.3024
2014013215,1,-6,18,42,27,31,3,1.0323,1.9982,3.3115,0.4844,0.1867,0.0582,0.6181,0.3508,0.2101,0.4684,0.2998,0.8552,0.7266,0.5165,0.2583,0.1729,0.1685,0.3482,2.1331,2.3783,0.3709,0.133,0.2993,0.5989,0.2998
2014013318,1,21,26,32,33,57,5,1.0201,1.8289,3.2344,0.4658,0.1758,0.0554,0.5514,0.3842,0.2077,0.4486,0.2592,0.7918,0.638,0.4458,0.2307,0.1643,0.1354,0.33899999999999997,2.5543,2.2625,0.3767,0.1492,0.2589,0.5263,0.2592
2014013324,1,55,30,6,37,39,1,1.0328,1.9366,3.6818,0.4516,0.1782,0.05,0.5455,0.3665,0.1935,0.4765,0.3003,0.855,0.6937,0.4839,0.2419,0.1961,0.1522,0.3342,2.2674,3.0046,0.3548,0.0999,0.2837,0.584,0.3003
2014013420,1,5,57,25,41,54,2,1.0217,2.0,4.2689,0.4771,0.2023,0.0484,0.5217,0.3615,0.1846,0.4698,0.26899999999999996,0.8308,0.6622,0.4771,0.2466,0.2081,0.1461,0.3238,2.2639,2.3217,0.3541,0.1423,0.2676,0.551,0.26899999999999996
2014014103,1,57,50,34,25,23,1,1.0368,1.8957,3.6222,0.4286,0.1617,0.0463,0.5493,0.3707,0.1964,0.4487,0.2968,0.8215,0.6787,0.4824,0.25,0.2,0.1171,0.3234,2.8636,2.0051,0.3219,0.1296,0.2777,0.5739,0.2968
2014014105,1,45,21,33,14,39,1,1.252,2.4381,4.4091,0.4517,0.1778,0.0505,0.6111,0.3635,0.1774,0.4443,0.3433,0.7905,0.6452,0.4519,0.2258,0.1612,0.1665,0.3402,2.5582,4.1302,0.3402,0.0833,0.2633,0.5870000000000001,0.3433
2014016207,0,16,22,54,3,47,3,1.1155,2.1114,3.6111,0.4138,0.1556,0.0481,0.5289,0.3654,0.1732,0.4504,0.2891,0.8102,0.6723,0.4827,0.2586,0.1777,0.1449,0.3191,2.4568,1.875,0.32799999999999996,0.1538,0.25,0.5579999999999999,0.2891
2014016414,1,-9,26,45,28,55,5,1.0493,2.1245,4.6786,0.4294,0.1651,0.037000000000000005,0.6424,0.3459,0.2118,0.4545,0.3335,0.8121,0.6828,0.4947,0.2588,0.1917,0.1433,0.3236,2.3692,4.1037,0.3884,0.0873,0.2716,0.5931,0.3335
2014022211,1,15,22,3,40,32,4,1.1489,2.0815,3.3038,0.4352,0.1579,0.0549,0.5556,0.3829,0.1852,0.4175,0.3191,0.76,0.6306,0.4448,0.223,0.1644,0.1085,0.3357,3.5561,2.7526,0.3338,0.1085,0.2765,0.5956,0.3191
2014022414,1,-2,54,48,41,60,5,1.1158,2.0937,3.0782,0.4703,0.1894,0.0687,0.5652,0.38299999999999995,0.19399999999999998,0.466,0.3168,0.8508,0.6722,0.4778,0.2537,0.1818,0.1089,0.3366,3.448,2.4838,0.3585,0.1343,0.252,0.5518,0.3168
2014023216,0,9,58,74,55,68,3,1.1087,2.1134,3.553,0.4107,0.1595,0.0498,0.667,0.349,0.21,0.4503,0.3261,0.7993,0.6418,0.4504,0.2437,0.1742,0.1337,0.3323,2.7564,2.7427,0.3702,0.1235,0.2565,0.5825,0.3261
2014023401,,,,,,,,1.0302,2.1884,4.2361,0.4129,0.1605,0.039,0.5903,0.3282,0.1881,0.4994,0.359,0.9409,0.7963,0.5645,0.3038,0.1728,0.1272,0.3119,2.5271,3.0,0.36200000000000004,0.1043,0.2538,0.6127,0.359
2014023409,0,47,21,22,29,35,1,1.0002,1.9751,3.2088,0.4242,0.1656,0.0516,0.5564,0.3418,0.1902,0.4569,0.3163,0.8231,0.6709,0.4687,0.2417,0.1744,0.1359,0.3295,2.4248,1.8352,0.3298,0.1518,0.2534,0.5821,0.3163
2014023604,1,9,71,11,63,70,2,1.0852,2.2814,3.0166,0.4219,0.1693,0.0609,0.5933,0.3291,0.1799,0.4689,0.3534,0.8537,0.7187,0.5062,0.2696,0.18600000000000003,0.1325,0.3228,2.6437,2.4083,0.3263,0.1218,0.2683,0.6217,0.3534
2014023623,0,39,44,0,40,64,5,1.0668,1.9751,3.3413,0.456,0.1692,0.054000000000000006,0.5564,0.3593,0.1874,0.4463,0.2938,0.7986,0.6611,0.4738,0.2621,0.2015,0.0977,0.3253,3.5541,1.8345,0.3375,0.1601,0.2805,0.5889,0.2938
2014024120,0,29,71,27,40,53,2,0.9384,1.9417,4.0042,0.4403,0.1601,0.0375,0.6181,0.319,0.2101,0.4606,0.3382,0.8302,0.69,0.4902,0.2601,0.1899,0.1394,0.3259,2.1933,2.2154,0.37,0.1313,0.2722,0.629,0.3382
2014024203,0,25,38,7,51,64,5,0.9829,1.7807,3.1244,0.4561,0.1689,0.0531,0.4778,0.3969,0.193,0.4617,0.2586,0.7895,0.6493,0.4561,0.2456,0.23399999999999999,0.1293,0.316,2.4019,2.5754,0.3508,0.1207,0.2586,0.5172,0.2586
2014024218,1,26,26,24,3,40,5,1.0447,1.9854,2.8797,0.4409,0.1708,0.062,0.5389,0.3695,0.1906,0.4319,0.2848,0.7618,0.6257,0.4443,0.2267,0.2063,0.1201,0.3145,2.7343,1.9299,0.2993,0.1326,0.237,0.5312,0.2848
2014024219,0,5,23,17,20,64,5,0.985,2.0223,3.8906,0.4257,0.1654,0.0419,0.5803,0.3247,0.1913,0.4574,0.3352,0.8185,0.6696,0.4678,0.2445,0.2163,0.1452,0.3109,2.1089,2.0,0.3189,0.1256,0.2724,0.618,0.3352
2014025210,0,59,55,9,21,22,1,1.0316,2.0258,3.135,0.4269,0.1529,0.0503,0.5366,0.3524,0.1833,0.4647,0.3018,0.8420000000000001,0.6953,0.5004,0.256,0.1935,0.1229,0.3064,2.5726,2.114,0.2804,0.1132,0.239,0.5534,0.3018
2014025227,1,18,48,36,38,64,5,1.0886,2.0757,3.1974,0.4112,0.1603,0.0546,0.5,0.3553,0.1632,0.4512,0.3014,0.8087,0.6738,0.4681,0.2411,0.2072,0.1323,0.3133,2.5776,2.2626,0.2981,0.11599999999999999,0.2471,0.5484,0.3014
2014026102,0,-1,77,39,22,66,2,1.0590000000000002,2.0004,4.0,0.4259,0.1481,0.0392,0.4737,0.3725,0.1666,0.4377,0.2941,0.7962,0.6668,0.4629,0.2407,0.18600000000000003,0.1407,0.3287,2.4744,2.0,0.2777,0.1176,0.2353,0.5489999999999999,0.2941
2014026224,0,-4,65,31,13,81,5,0.9999,1.9022,3.3416,0.4333,0.1671,0.05,0.5714,0.35,0.2,0.4522,0.3004,0.8168,0.6669,0.4836,0.2506,0.1489,0.1096,0.3336,3.0429,1.875,0.3167,0.1333,0.2671,0.5833,0.3004
2014031109,0,74,-14,4,5,-7,1,1.0276,1.9368,3.2062,0.4256,0.1705,0.0546,0.5319,0.3498,0.1811,0.4471,0.3171,0.8194,0.6808,0.479,0.2554,0.1603,0.1556,0.3447,2.2759,1.9167,0.3085,0.1311,0.2732,0.601,0.3171
2014031229,1,35,39,18,60,40,4,1.1318,2.2826,3.2918,0.4278,0.1668,0.0574,0.6068,0.3523,0.1889,0.4588,0.3397,0.8249,0.68,0.4798,0.2565,0.172,0.1512,0.3281,2.4562,2.6667,0.3222,0.1132,0.2518,0.6036,0.3397
2014033228,0,19,6,39,54,93,5,1.0047,2.029,3.6367,0.4594,0.1715,0.0474,0.625,0.3232,0.2011,0.4805,0.3302,0.878,0.7238,0.5362,0.2883,0.1952,0.14800000000000002,0.3469,2.3554,2.5234,0.3822,0.1281,0.2896,0.6262,0.3302
2014034225,0,62,0,18,24,62,1,0.9576,1.7904,2.3633,0.4177,0.1658,0.0672,0.4496,0.3515,0.165,0.4516,0.2911,0.8102,0.6582,0.4685,0.2531,0.1774,0.1407,0.3244,2.2083,1.5339,0.3291,0.158,0.2788,0.5818,0.2911
2014034226,1,38,13,24,24,40,5,1.1062,1.9025,2.8926,0.4194,0.1633,0.0624,0.4783,0.4103,0.1774,0.4401,0.2682,0.7581,0.6128,0.4354,0.2258,0.1998,0.1086,0.3246,3.3080000000000003,2.5,0.2903,0.107,0.2148,0.483,0.2682
2014037209,0,31,20,14,45,81,5,1.0395,2.0166,3.6596,0.4545,0.1674,0.0475,0.5455,0.3462,0.1817,0.46,0.3078,0.833,0.6817,0.485,0.2575,0.2219,0.1329,0.3072,2.4033,2.7624,0.4242,0.134,0.2598,0.5753,0.3078
2014037211,1,74,5,-1,14,30,1,1.0716,2.0303,3.0322,0.4263,0.1623,0.0573,0.5235,0.3621,0.1769,0.4595,0.2834,0.8374,0.6611,0.4701,0.2351,0.2044,0.1343,0.316,2.5226,2.1287,0.3089,0.1259,0.2681,0.5670000000000001,0.2834
2014037215,1,44,58,12,55,20,2,1.064,1.9769,3.5786,0.4331,0.177,0.0526,0.5722,0.3631,0.1953,0.4454,0.3263,0.8165,0.6826,0.4757,0.2561,0.1543,0.141,0.3383,2.5533,2.7696,0.3662,0.1174,0.2854,0.6113,0.3263
2014039110,1,21,52,0,35,52,2,1.0717,2.0874,3.2042,0.4205,0.1663,0.0556,0.5416,0.3584,0.1811,0.45399999999999996,0.3186,0.8124,0.6658,0.4677,0.2457,0.2335,0.1376,0.3041,2.3694,2.8739,0.3552,0.1133,0.2344,0.5529999999999999,0.3186
2014039215,1,27,21,2,31,53,5,0.9634,1.912,2.8588,0.4547,0.1759,0.0593,0.625,0.3503,0.2272,0.4475,0.3068,0.8035,0.6521,0.4555,0.2429,0.1676,0.155,0.34299999999999997,2.1317,2.225,0.3639,0.1314,0.2481,0.5694,0.3068
2014041117,1,-24,55,35,-22,43,2,1.0248,2.0689,3.1731,0.4428,0.1571,0.0507,0.5364,0.3445,0.1803,0.46,0.3192,0.8370000000000001,0.7057,0.5006,0.2542,0.1722,0.1155,0.3165,2.8081,2.4947,0.3361,0.1179,0.2604,0.588,0.3192
2014041208,1,34,65,45,34,41,2,1.0353,2.0357,2.6598,0.4309,0.1641,0.0639,0.4994,0.3572,0.1723,0.4411,0.3033,0.7934,0.6385,0.4483,0.2412,0.1875,0.128,0.3364,2.7211,1.7704,0.3278,0.1615,0.2319,0.5533,0.3033
2014041218,0,26,32,9,25,26,2,1.0515,1.9605,4.2754,0.4608,0.1776,0.0437,0.5547,0.3717,0.1961,0.4543,0.2474,0.7846,0.667,0.4706,0.2557,0.18600000000000003,0.1284,0.3437,2.8144,2.5,0.3333,0.1237,0.2268,0.4948,0.2474
2014041320,,,,,,,,1.0199,2.083,4.0661,0.4462,0.1619,0.0406,0.5714,0.35,0.1961,0.4419,0.3301,0.8236,0.6961,0.5,0.2745,0.1623,0.1724,0.3437,2.0331,2.4545,0.3235,0.11,0.2502,0.59,0.3301
2014043102,1,44,41,15,45,39,4,1.0641,2.1114,3.7009,0.4397,0.1646,0.0473,0.669,0.3301,0.2075,0.4497,0.3123,0.8106,0.6729,0.4828,0.259,0.1751,0.1218,0.3276,2.8633,2.2361,0.3623,0.1478,0.2567,0.5870000000000001,0.3123
2014043117,1,15,26,14,43,46,5,0.9725,2.0278,3.2259,0.4934,0.2016,0.0608,0.5828,0.3244,0.1944,0.4662,0.3379,0.8059999999999999,0.6533,0.4724,0.2504,0.1841,0.1366,0.3405,2.4235,2.0,0.3475,0.1351,0.2836,0.6079,0.3379
2014043119,1,-6,29,-6,53,34,4,1.082,1.97,3.0259,0.4101,0.168,0.0601,0.5011,0.3909,0.18100000000000002,0.456,0.3008,0.8196,0.6816,0.4739,0.2514,0.1827,0.1302,0.3144,2.6134,2.3599,0.3058,0.1211,0.2558,0.5566,0.3008
2014053103,1,75,-6,-13,53,34,1,0.9948,1.8707,3.1839999999999997,0.4707,0.1868,0.0584,0.5322,0.3699,0.1979,0.4593,0.289,0.8258,0.6628,0.4654,0.2327,0.1826,0.1419,0.3454,2.4209,2.1538,0.37200000000000005,0.1503,0.2659,0.5665,0.289
2014053124,1,26,65,42,44,60,2,0.9917,1.9345,3.2858,0.4336,0.1687,0.0509,0.4568,0.3636,0.1675,0.4124,0.2979,0.7332,0.5835,0.4166,0.2166,0.23399999999999999,0.1169,0.3018,2.5608,1.8889,0.3503,0.1487,0.2155,0.5299,0.2979
2014053212,1,13,35,23,13,44,5,1.1847,2.1724,2.7083,0.4297,0.1719,0.0752,0.5734,0.3887,0.1881,0.4478,0.2968,0.8127,0.6564,0.4534,0.2349,0.0962,0.1379,0.3702,3.1809,3.0,0.3438,0.1111,0.2592,0.5742,0.2968
2014053227,1,-10,70,50,5,47,2,1.1237,2.2277,3.4235,0.4399,0.1711,0.0562,0.5625,0.3595,0.18,0.451,0.3146,0.8001,0.6402,0.4603,0.24,0.1951,0.1025,0.3314,3.6335,2.6077,0.3006,0.1124,0.2247,0.5393,0.3146
2014053229,1,13,24,-4,48,69,5,1.0896,2.0286,3.2616,0.4454,0.1815,0.0606,0.5,0.3881,0.1781,0.4488,0.2687,0.7808,0.6166,0.4249,0.2192,0.1666,0.1434,0.3426,2.6026,2.5,0.3288,0.1194,0.2239,0.4928,0.2687
2014061126,1,16,53,31,4,18,2,1.095,2.1124,3.1004,0.4311,0.1646,0.0581,0.5789,0.3585,0.1895,0.4602,0.2836,0.8115,0.6557,0.4656,0.2419,0.2083,0.1148,0.3274,3.1236,2.2902,0.3278,0.1321,0.2453,0.5475,0.2836
2014062116,1,60,35,35,18,16,1,1.1093,2.0902,4.0552,0.4366,0.1713,0.0469,0.5417,0.375,0.1831,0.4445,0.2968,0.8027,0.6621,0.4507,0.2394,0.1617,0.135,0.3317,2.7259,2.8571,0.3383,0.1094,0.2349,0.5314,0.2968
2014062323,0,-7,56,51,21,95,5,0.9916,1.8058,2.7111,0.4296,0.1702,0.0623,0.5015,0.3829,0.1937,0.4854,0.2608,0.8418,0.6838,0.4909,0.2805,0.1926,0.1412,0.335,2.352,3.8,0.4033,0.0869,0.2434,0.5042,0.2608
2014063102,1,13,59,43,37,74,5,1.1476,2.0896,3.2661,0.4286,0.1674,0.0588,0.5733,0.4043,0.20199999999999999,0.456,0.2892,0.8062,0.6351,0.4432,0.23199999999999998,0.1429,0.1296,0.3345,2.9613,2.3386,0.33299999999999996,0.1389,0.2433,0.5325,0.2892
2014063109,1,38,52,23,39,59,5,1.0425,1.8725,2.397,0.4334,0.1613,0.0701,0.5198,0.375,0.187,0.4535,0.2642,0.7994,0.6395,0.45299999999999996,0.2402,0.1695,0.1367,0.3271,2.4945,3.5384,0.36,0.0982,0.292,0.5696,0.2642
2014063218,1,31,37,17,25,39,5,1.0313,2.0506,2.6914,0.4225,0.1617,0.062,0.5185,0.3313,0.1666,0.4346,0.3067,0.7853,0.6545,0.46399999999999997,0.2379,0.172,0.1583,0.3497,2.2783,2.3,0.3331,0.1227,0.2457,0.5522,0.3067
2014064204,1,36,46,24,61,35,4,1.1649,2.1983,3.1127,0.431,0.1706,0.0638,0.5814,0.3628,0.1811,0.4398,0.3039,0.7839,0.6312,0.4283,0.2247,0.1727,0.1382,0.3303,2.7837,2.2626,0.3043,0.1268,0.2531,0.5569,0.3039
2014064226,1,1,65,72,73,91,5,1.0943,2.073,3.2116,0.4483,0.1661,0.0566,0.5523,0.3773,0.1904,0.4341,0.2648,0.7759,0.6207,0.431,0.2248,0.2173,0.1438,0.3115,2.3703,2.1429,0.2931,0.1321,0.2272,0.4905,0.2648
2014081101,1,56,20,15,42,35,1,1.0051,2.0596,2.5781,0.4364,0.1778,0.0693,0.5293,0.3356,0.1767,0.4411,0.2859,0.8038,0.6666,0.4608,0.2451,0.1907,0.1579,0.3357,2.1366,1.7346,0.3138,0.1478,0.2562,0.5518,0.2859
2014081116,0,41,20,14,29,38,1,0.8938,1.7581,3.7669,0.4751,0.1719,0.0408,0.5401,0.3521,0.2128,0.4685,0.3158,0.8474,0.7041,0.5159,0.2756,0.1673,0.1377,0.3457,2.2441,1.5909,0.3313,0.1529,0.2557,0.584,0.3158
2014081121,0,44,48,18,9,49,5,1.085,2.0141,3.7205,0.4338,0.1623,0.0473,0.4894,0.3983,0.1797,0.4748,0.2799,0.8434,0.6875,0.4766,0.242,0.1527,0.115,0.32799999999999996,3.0957,1.88,0.3048,0.1442,0.2132,0.5007,0.2799
